No,TÊN KHÓA HỌC (course name)    ,CHUYÊN NGÀNH (course category),LINK KHÓA HỌC (course link),MÔ TẢ (course description),,
1,TỐI ƯU GIAN HÀNG TRÊN LAZADA,Digital Marketing,https://onlinica.com/courses/course-v1:Onlinica+259+2024_259/about ,"Thương mại điện tử hiện đang là xu hướng của thời đại toàn cầu hóa như hiện nay. Tại Việt Nam thu hút nhiều sàn thương mại điện tử tham gia. Lazada là một trong số đó. Có mặt tại Việt Nam và Đông Nam Á từ năm 2012, Lazada đã trở thành một lựa chọn hàng đầu kể cả người bán và người tiêu dùng. Và nếu bạn đang muốn kinh doanh trên Lazada nhưng chưa biết cách tạo và quản lý gian hàng hiệu quả? Bạn đang gặp khó khăn trong việc thu hút và chăm sóc khách hàng trên sàn thương mại điện tử lớn nhất Đông Nam Á? Bạn đang tìm kiếm một khóa học thực chiến, cập nhật và chất lượng về bán hàng trên Lazada? Vậy thì khoá học ""Tối ưu gian hàng trên Lazada"" sẽ là một cuốn cẩm nang tuyệt vời cho bạn. Hãy đồng hành cùng chúng tôi trên hành trình tối ưu hóa gian hàng Lazada của bạn. Đến với khoá học này, bạn sẽ biết được quá trình hình thành và phát triển của Lazada, cách thiết kế gian hàng cũng như mẹo để tối ưu được gian hàng. Hãy vào học ngay để nhận những kiến thức và chiến lược quan trọng cho sự thành công của bạn trên thị trường thương mại điện tử đầy cạnh tranh.",,
2,HỘI HỌA: MÀU SẮC VÀ PHỐI MÀU CƠ BẢN,Design,https://onlinica.com/courses/course-v1:Onlinica+001+2022_001/about ,"Bạn yêu thích việc sử dụng màu sắc, nhưng lại không biết làm sao để phối ra những màu sắc mà bản thân mong muốn. Vậy thì khóa học ""Màu sắc và cách phối màu cơ bản"" sẽ mang đến cho bạn những kiến thức cơ bản về màu sắc như việc sử dụng ánh sáng, nhiệt độ trong màu sắc hay thú vị hơn là nắm được các nguyên lý phối màu. Không những thế bạn còn có thể thực hành tô màu với vòng tròn thuần sắc cùng Mr. Anh Thi - Giảng viên chuyên ngành thiết kế. Để có thể có những trải nghiệm tuyệt vời trên còn chần chờ gì mà không nhanh tay đăng ký khóa học để tiếp thu những kiến thức hữu ích bạn nhé!",,
3,KỸ NĂNG QUẢN LÝ THỜI GIAN,Personal Development,https://onlinica.com/courses/course-v1:Onlinica+002+2022_002/about,Thời gian của chúng ta mỗi ngày là như nhau - 24 giờ/ngày. Nhưng nếu bạn biết cách phân chia và sử dụng thời gian hợp lý thì chắc chắn hiệu suất học tập và làm việc sẽ tốt hơn rất nhiều. Vậy kỹ năng quản lý thời gian là gì và làm thế nào để nâng cao kỹ năng này? Onlinica sẽ bật mí cùng bạn ngay trong khóa học này!,,
4,KỸ NĂNG SINH TỒN TRONG THÀNH PHỐ ,Personal Development,https://onlinica.com/courses/course-v1:Onlinica+003+2022_003/about,"Tìm kiếm phòng trọ tại Thành Phố chưa là bao giờ là công việc dễ dàng. Nguy hiểm, khó khăn và nhiều thử thách là những gì bạn phải đối diện khi tìm kiếm một nơi ở mới. Làm thế nào để vượt qua nó ư? Khóa học này của Onlinica sẽ trang bị cho bạn những kỹ năng ""sinh tồn"" cần thiết, giúp bạn có kiến thức và kỹ năng tìm kiếm một nơi trọ tốt và phù hợp với nhu cầu.",,
5,KHÁM PHÁ NGÀNH DIGITAL MARKETING,Digital Marketing,https://onlinica.com/courses/course-v1:Onlinica+004+2022_004/about#shortDes,"Trước khi cuộc cách mạng công nghiệp 4.0 nổ ra, Marketing tồn tại dưới hình thức như quảng cáo trên TV, tờ rơi và nhân viên tiếp thị sẽ gõ cửa từng nhà để giới thiệu sản phẩm. Tuy nhiên ngày nay Digital marketing đã phát triển và đang dần khẳng định vai trò của mình, trở thành phương pháp tiếp cận khách hàng tất yếu của mọi doanh nghiệp. Vậy để khám phá về ngành Digital marketing các bạn hãy cùng Onlinica tham gia khóa học ""Khám phá ngành Digital Marketing"" để lắng nghe chuyên gia chia sẻ tổng quan về ngành Digital marketing, vai trò và lợi ích của ngành Digital marketing đối với doanh nghiệp và triển vọng nghề nghiệp của ngành Digital marketing trên thị trường lao động nhé!",,
6,KỸ NĂNG PHỎNG VẤN TÌM VIỆC LÀM,Soft Skills,https://onlinica.com/courses/course-v1:Onlinica+005+2022_005/about,"Một cuộc phỏng vấn xin việc thành công là tổng hòa của rất nhiều yếu tố, từ hình thức đến nội dung. Để không làm lãng phí thời gian và công sức cho những cuộc phỏng vấn tìm việc “ra về tay không”, đừng quên trang bị cho mình những kỹ năng cần thiết. Cùng Onlinica tìm hiểu đó là gì trong khóa học này nhé!",,
7,NGÀNH TRÍ TUỆ NHÂN TẠO AI - NGHỀ CỦA TƯƠNG LAI,Trí tuệ nhân tạo A.I,https://onlinica.com/courses/course-v1:Onlinica+006+2022_006/about,"Trí tuệ nhân tạo là một nhánh của khoa học máy tính, liên quan đến việc chúng ta xây dựng hệ thống máy thông minh, có khả năng thực hiện những chức năng như con người. Vậy Trí tuệ nhân tạo là gì? Máy học là gì? Có sự khác biệt như thế nào giữa máy học có giám sát và máy học không giám sát? Học sâu hay còn được biết đến với thuật ngữ Deep Learning có ứng dụng như thế nào? Mọi thắc mắc đều sẽ được giải đáp ở khoá học ''Nhập Môn Trí Tuệ Nhân Tạo - Phần 01'' cùng Tiến sĩ Trần Anh Tuấn - Chuyên gia ngành Trí tuệ nhân tạo tại Onlinica.",,
8,KHÁM PHÁ NGÀNH GAME DEVELOPER - NHẬP MÔN,Lập trình,https://onlinica.com/courses/course-v1:Onlinica+008+2022_008/about,"Để tạo ra được một video game, đó là cả một quá trình không chỉ bao gồm công đoạn lập trình game mà còn có cả thiết kế hình ảnh, âm thanh, dữ liệu. Vậy để có thể hiểu rõ hơn về quy trình tạo ra một video game, cũng như các cơ hội việc làm của một Game Developer thì hãy khám phá khóa học ngay tại Onlinica.",,
9,KỸ NĂNG GIAO TIẾP HIỆU QUẢ,Soft Skills,https://onlinica.com/courses/course-v1:Onlinica+009+2022_009/about,"Giao tiếp là một phần không thể thiếu trong cuộc sống, việc giao tiếp giúp con người đạt được những nhu cầu của bản thân. Để thấu hiểu, truyền đạt đúng ý từ người gửi đến người nhận đúng thông điệp truyền tải. Onlinica giới thiệu cùng bạn khóa học ''Kỹ năng giao tiếp hiệu quả'' với những kiến thức hữu ích về tầm quan trọng của giao tiếp mà bạn không nên bỏ lỡ.",,`
10,KỸ NĂNG TÌM VIỆC LÀM THÊM,Soft Skills,https://onlinica.com/courses/course-v1:Onlinica+010+2022_010/about,"Hầu hết các bạn trẻ đều mong muốn tìm được một công việc làm thêm tốt trong thời gian đi học để vừa tăng thu nhập vừa cải thiện kỹ năng. Tuy nhiên, không phải ai cũng có thể sắp xếp được thời gian học và làm cũng như tìm được công việc phù hợp sở thích. Làm thế nào bây giờ? Câu trả lời sẽ được Onlinica giải đáp trong khóa học này!",,
11,KỸ NĂNG VIẾT CV TÌM VIỆC,Soft Skills,https://onlinica.com/courses/course-v1:Onlinica+011+2022_011/about,"Viết CV tìm việc là điều rất đáng quan tâm đối với sinh viên sắp ra trường. Những lưu ý cơ bản khi viết CV là gì? Làm sao để cho CV của bạn nổi bật hơn trong mắt nhà tuyển dụng? Tất cả các câu trả lời đều sẽ được giải đáp ở khoá học ''KỸ NĂNG VIẾT CV TÌM VIỆC'' tại Onlinica. Khoá học được chính những chuyên gia tuyển dụng nhân sự lâu năm chia sẻ những kinh nghiệm, những bí quyết viết CV hay đến cho bạn. Hãy nhanh tay đăng ký khoá học để giúp bạn có khởi đầu suôn sẻ.",,
12,PHÁC HỌA VÀ NHỮNG ĐIỀU CẦN BIẾT,Design,https://onlinica.com/courses/course-v1:Onlinica+012+2022_012/about,"Phác họa một sự vật bằng phần mềm Photoshop còn quá khó đối với bạn? Khóa học ngày hôm nay sẽ chỉ cho bạn từng bước cơ bản bao gồm: dựng hình, đổ màu, đổ bóng và hoàn thiện các chi tiết nhỏ trong quá trình phác họa trên máy tính. Hãy cùng Onlinica tham gia khóa học này để có thể tìm hiểu và tự vẽ nên các thành phẩm của riêng mình bạn nhé!",,
